column,dtype,role,non_null,unique_non_null,description
source_excel_row,int64,provenance_or_raw,930,930,
source_sheet,str,provenance_or_raw,930,1,
source_file,str,provenance_or_raw,930,1,
source_file_sha256,str,provenance_or_raw,930,1,
source_row_sha256,str,provenance_or_raw,930,930,
mineID,Int64,provenance_or_raw,930,930,
site,str,provenance_or_raw,930,920,
ancientName,str,provenance_or_raw,1,1,
province,str,provenance_or_raw,930,3,
country,str,provenance_or_raw,930,2,
region,str,provenance_or_raw,927,37,
miningDistrict,str,provenance_or_raw,881,54,
romanianRANID,float64,raw_or_derived,0,0,
sanchezPalenciaAndOrejasID,str,raw_or_derived,530,508,
domergueID,str,raw_or_derived,539,499,
spainMapSheet,float64,raw_or_derived,503,158,
lambertX,float64,raw_or_derived,501,458,
lambertY,float64,raw_or_derived,501,442,
latitude,float64,raw_or_derived,923,921,
longitude,float64,raw_or_derived,923,921,
coordinateAccuracy,float64,raw_or_derived,922,14,
locationDataSource,str,raw_or_derived,923,142,
locationNotes,str,raw_or_derived,86,78,
notBeforeOpeningDate,float64,raw_or_derived,32,7,
notAfterOpeningDate,float64,raw_or_derived,30,5,
notBeforeClosingDate,float64,raw_or_derived,30,4,
notAfterClosingDate,float64,raw_or_derived,30,2,
inUseDate,str,raw_or_derived,11,4,
metalMinedGold,str,raw_or_derived,930,3,
metalMinedSilver,float64,raw_or_derived,930,2,
metalMinedLead,float64,raw_or_derived,930,2,
metalMinedCopper,float64,raw_or_derived,928,2,
metalMinedTin,float64,raw_or_derived,930,2,
metalMinedIron,float64,raw_or_derived,930,2,
metalMinedMercuryCinnabar,float64,raw_or_derived,930,2,
metalMinedZinc,float64,raw_or_derived,930,2,
metalMinedOther,float64,raw_or_derived,930,1,
description,str,raw_or_derived,71,63,
references,str,raw_or_derived,915,105,
techniqueOpencast,float64,raw_or_derived,573,2,
techniqueUnderground,float64,raw_or_derived,575,2,
techniqueHydraulic,str,raw_or_derived,768,2,
techniqueHushing,str,raw_or_derived,526,2,
techniqueGroundSluicing,str,raw_or_derived,532,2,
techniqueRuinaMontium,float64,raw_or_derived,546,2,
techniqueRakeComb,float64,raw_or_derived,540,2,
techniqueGoldWashing,float64,raw_or_derived,543,2,
techniqueOther,float64,raw_or_derived,345,2,
notes,str,raw_or_derived,24,23,
geology,str,raw_or_derived,449,27,
depositType,str,raw_or_derived,717,6,
exploitationType,str,raw_or_derived,522,5,
site_clean,string,normalised_text,930,920,
ancient_name_clean,string,normalised_text,1,1,
roman_province_clean,string,normalised_text,930,3,
country_clean,string,normalised_text,930,2,
region_clean,string,normalised_text,927,37,
mining_district_clean,string,normalised_text,881,54,
in_use_date_clean,string,normalised_text,11,4,
geology_clean,string,normalised_text,449,27,
deposit_type_clean,string,normalised_text,717,6,
exploitation_type_clean,string,normalised_text,522,5,
site_match_key,string,raw_or_derived,930,920,
latitude_decimal,float64,raw_or_derived,923,921,
longitude_decimal,float64,raw_or_derived,923,921,
coordinate_accuracy_reported,float64,raw_or_derived,922,14,Numeric copy of OxREP coordinateAccuracy; unit and zero semantics remain unasserted.
coordinate_in_broad_spain_envelope,bool,raw_or_derived,930,2,
Y_Au,boolean,provisional_target,927,2,Nullable multi-label commodity presence derived from the corresponding OxREP indicator.
commodity_Au_status,string,indicator_state,930,3,
Y_Ag,boolean,provisional_target,930,2,Nullable multi-label commodity presence derived from the corresponding OxREP indicator.
commodity_Ag_status,string,indicator_state,930,2,
Y_Pb,boolean,provisional_target,930,2,Nullable multi-label commodity presence derived from the corresponding OxREP indicator.
commodity_Pb_status,string,indicator_state,930,2,
Y_Cu,boolean,provisional_target,928,2,Nullable multi-label commodity presence derived from the corresponding OxREP indicator.
commodity_Cu_status,string,indicator_state,930,3,
Y_Sn,boolean,provisional_target,930,2,Nullable multi-label commodity presence derived from the corresponding OxREP indicator.
commodity_Sn_status,string,indicator_state,930,2,
Y_Fe,boolean,provisional_target,930,2,Nullable multi-label commodity presence derived from the corresponding OxREP indicator.
commodity_Fe_status,string,indicator_state,930,2,
Y_Hg,boolean,provisional_target,930,2,Nullable multi-label commodity presence derived from the corresponding OxREP indicator.
commodity_Hg_status,string,indicator_state,930,2,
Y_Zn,boolean,provisional_target,930,2,Nullable multi-label commodity presence derived from the corresponding OxREP indicator.
commodity_Zn_status,string,indicator_state,930,2,
Y_Other,boolean,provisional_target,930,1,Nullable multi-label commodity presence derived from the corresponding OxREP indicator.
commodity_Other_status,string,indicator_state,930,1,
Y_roman,int64,provisional_target,930,1,Positive-only indicator: all selected OxREP records are Roman-mine presences.
confirmed_commodity_count,int64,raw_or_derived,930,4,
commodity_combination,str,raw_or_derived,930,16,
commodity_information_complete,bool,raw_or_derived,930,2,
has_technique_opencast,boolean,normalised_indicator,573,2,
technique_opencast_status,string,indicator_state,930,3,
has_technique_underground,boolean,normalised_indicator,575,2,
technique_underground_status,string,indicator_state,930,3,
has_technique_hydraulic,boolean,normalised_indicator,768,2,
technique_hydraulic_status,string,indicator_state,930,3,
has_technique_hushing,boolean,normalised_indicator,526,2,
technique_hushing_status,string,indicator_state,930,3,
has_technique_ground_sluicing,boolean,normalised_indicator,532,2,
technique_ground_sluicing_status,string,indicator_state,930,3,
has_technique_ruina_montium,boolean,normalised_indicator,546,2,
technique_ruina_montium_status,string,indicator_state,930,3,
has_technique_rake_comb,boolean,normalised_indicator,540,2,
technique_rake_comb_status,string,indicator_state,930,3,
has_technique_gold_washing,boolean,normalised_indicator,543,2,
technique_gold_washing_status,string,indicator_state,930,3,
has_technique_other,boolean,normalised_indicator,345,2,
technique_other_status,string,indicator_state,930,3,
confirmed_technique_count,int64,raw_or_derived,930,6,
headline_technique_combination,str,raw_or_derived,930,7,
notBeforeOpeningDate_numeric,float64,raw_or_derived,32,7,
notAfterOpeningDate_numeric,float64,raw_or_derived,30,5,
notBeforeClosingDate_numeric,float64,raw_or_derived,30,4,
notAfterClosingDate_numeric,float64,raw_or_derived,30,2,
chronology_numeric_bounds_count,int64,raw_or_derived,930,3,
chronology_any_reported,bool,raw_or_derived,930,2,
deposit_type_normalized,string,normalised_text,714,3,
exploitation_type_normalized,string,normalised_text,521,3,
flag_country_override,bool,quality_flag,930,2,Included by an explicit mineID override because the OxREP country field contains a subnational Spanish territory rather than 'Spain'.
flag_coordinate_missing,bool,quality_flag,930,2,Latitude or longitude is missing/non-numeric; no point geometry is exported.
flag_coordinate_outside_broad_spain_envelope,bool,quality_flag,930,1,Coordinate falls outside broad QA envelopes for Spain. These envelopes are not an administrative point-in-polygon test.
flag_coordinate_accuracy_missing,bool,quality_flag,930,2,OxREP coordinateAccuracy is missing/non-numeric.
flag_coordinate_accuracy_zero,bool,quality_flag,930,2,OxREP reports coordinateAccuracy=0. Its semantics are not inferred as either perfect precision or missingness.
flag_coordinate_accuracy_gt_1000,bool,quality_flag,930,2,Reported coordinateAccuracy is greater than 1000 (unit is not encoded in the worksheet schema).
flag_location_source_missing,bool,quality_flag,930,2,locationDataSource is empty.
