mineID,site,ancientName,province,country,region,miningDistrict,romanianRANID,sanchezPalenciaAndOrejasID,domergueID,spainMapSheet,lambertX,lambertY,latitude,longitude,coordinateAccuracy,locationDataSource,locationNotes,notBeforeOpeningDate,notAfterOpeningDate,notBeforeClosingDate,notAfterClosingDate,inUseDate,metalMinedGold,metalMinedSilver,metalMinedLead,metalMinedCopper,metalMinedTin,metalMinedIron,metalMinedMercuryCinnabar,metalMinedZinc,metalMinedOther,description,references,techniqueOpencast,techniqueUnderground,techniqueHydraulic,techniqueHushing,techniqueGroundSluicing,techniqueRuinaMontium,techniqueRakeComb,techniqueGoldWashing,techniqueOther,notes,geology,depositType,exploitationType,Flag_Au_Oro,Status_Au_Oro,Flag_Ag_Plata,Status_Ag_Plata,Flag_Cu_Cobre,Status_Cu_Cobre,Flag_Pb_Plomo,Status_Pb_Plomo,Flag_Hg_Cinabrio,Status_Hg_Cinabrio,Flag_Sn_Estano,Status_Sn_Estano,Flag_Fe_Hierro,Status_Fe_Hierro,Tech_Ruina_Montium,Tech_Subterranea,Tech_Cielo_Abierto,Tech_Lavado_Placer,Certainty_Spatial,Certainty_Archaeological,Certainty_Metallogenic,Certainty_Score,Certainty_Grade,Real_Elevation_MDT_m,Real_IGME_Lithology_General,Real_IGME_Lithology_Detailed,Real_IGME_Era,Real_IGME_Sistema,Real_IGME_Dominio,Coord_X,Coord_Y,Real_IGME_Dist_Fault_m,Real_IGME_Dist_Contact_m,Real_IGME_Fault_Density_5km,Is_Presence,Spatial_Fold
1,Aljustrel,Vipasca,Lusitania,Portugal,Beja,Alentejo,,,POR 2,538.0,197.6,99.6,37.880874,-8.175981,1000.0,Google Earth,,,,,,,?,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,"A copper mining district with also extraction of silver, iron, and perhaps gold. Two bronze tablets were found here detailing the laws and regulations as well as the imperial administration's role in managing the town, granting leases, and overseeing the mining works.",Domergue 1983: 5-193; Domergue 1990: 62,0.0,1.0,False,False,False,0.0,0.0,0.0,0.0,,Pyrite,,,1,Hipotetico,1,Confirmado,1,Confirmado,0,No,0.0,No,0.0,No,1.0,Confirmado,0.0,1.0,0.0,0.0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),160.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),44675.23319184652,4205245.661545674,52917.3,54599.4,0,1,2
2,Atalaia de Alte,,Lusitania,Portugal,Faro,Algarve,,,POR 24,587.0,195.2,30.8,37.24315224,-8.187164537,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,,,False,False,False,0.0,0.0,0.0,,,,,,0,No,0,No,1,Confirmado,0,No,0.0,No,0.0,No,0.0,No,0.0,0.0,0.0,0.0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),300.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),39771.04327943211,4134474.410919088,63976.4,59012.3,0,1,2
3,Avintes,,Lusitania,Portugal,Northern Portugal,Northern Portugal,,NP-01,,,,,41.099158,-8.544675,1000.0,"Placename, Google Earth",,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 198",1.0,,True,False,False,0.0,0.0,0.0,0.0,,,Secondary,Selective - Extensive,1,Confirmado,0,No,0,No,0,No,0.0,No,0.0,No,0.0,No,1.0,0.0,1.0,0.0,0.7,0.9,1.0,0.845,Alta Certeza (Grado I),82.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),34284.56997864728,4564602.787981567,187840.0,185110.7,0,1,1
4,Belmonte - Colmeal - Maçainhas,,Hispania Tarraconensis,Portugal,Castelo Branco,Trás-os-montes,,,POR 15,214.0,267.3,380.4,40.38963823,-7.340493633,,,,,,,,,FALSE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,False,False,False,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,0,No,0,No,0.0,No,1.0,Confirmado,0.0,No,0.0,0.0,0.0,0.0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),497.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),131554.21920597675,4480057.353227729,160468.4,153531.8,0,1,5
5,Brancanes,,Lusitania,Portugal,Beja,Alentejo,,,POR 3,564.0,210.3,65.7,37.55756281,-8.016500588,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,0.0,1.0,False,False,False,0.0,0.0,0.0,0.0,,Hard rock,,,0,No,0,No,1,Confirmado,0,No,0.0,No,0.0,No,0.0,No,0.0,1.0,0.0,0.0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),245.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),56785.29103229882,4168571.843903654,33520.3,39225.3,0,1,2
6,Buraco dos Mouros de Urros,,Hispania Tarraconensis,Portugal,Northern Portugal,Northern Portugal,,NP-17,,,,,41.07721,-7.040592,50.0,http://www.cm-moncorvo.pt/o-que-visitar/patrimonio/geologico/buraco-dos-mouros-de-urros,,,,,,,TRUE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"Sanchez-Palencia and Orejas 1994, 199",0.0,1.0,False,False,False,0.0,0.0,0.0,0.0,,,Primary,Extensive,1,Confirmado,0,No,0,No,0,No,0.0,No,0.0,No,0.0,No,0.0,1.0,0.0,0.0,1.0,0.9,1.0,0.965,Alta Certeza (Grado I),641.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),160538.05665583606,4555200.181969162,153201.2,139990.7,0,1,1
7,Cabeço de Mua,,Hispania Tarraconensis,Portugal,Braga,Trás-os-montes,,,POR 13,119.0,298.7,470.0,41.19318578,-6.956601638,,,,,,,,,FALSE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,Domergue 1990: 41,,,False,False,False,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,0,No,0,No,0.0,No,0.0,No,1.0,Confirmado,0.0,0.0,0.0,0.0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),840.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),168181.88233844162,4567754.882654462,150723.9,131903.2,0,1,1
8,Carvalhelos,,Hispania Tarraconensis,Portugal,Viano do Castelo,Trás-os-montes,,,POR 41,41.0,232.8,524.2,41.68652096,-7.739182189,,,,,,,,,FALSE,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,Domergue 1990: 41,,,False,False,False,0.0,0.0,0.0,,,Hard rock,Primary,,0,No,0,No,0,No,0,No,0.0,No,1.0,Confirmado,0.0,No,0.0,0.0,0.0,0.0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),869.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),105539.34169691574,4625834.704956497,105380.1,105380.1,0,1,1
9,Cerro da Mina,,Lusitania,Portugal,Faro,Algarve,,,POR 23,574.0,233.4,53.6,37.44799935,-7.755615659,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,0.0,1.0,False,False,False,0.0,0.0,0.0,0.0,,,,,0,No,0,No,1,Confirmado,0,No,0.0,No,0.0,No,0.0,No,0.0,1.0,0.0,0.0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),299.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),79232.66144533776,4155203.858930377,21865.9,21323.5,0,1,2
10,Cisterna dos Cães,,Lusitania,Portugal,Faro,Algarve,,,POR 26,595.0,172.9,25.0,37.19050854,-8.438280827,,,,,,,,,FALSE,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,Domergue 1990: 62,,,False,False,False,0.0,0.0,0.0,,,,,,0,No,0,No,1,Confirmado,0,No,0.0,No,0.0,No,0.0,No,0.0,0.0,0.0,0.0,0.5,0.9,1.0,0.765,Media Certeza (Grado II),51.0,Macizo Ibérico (Zona Ossa-Morena / Centroibérica),"Pizarras, esquistos y metavulcanitas hercínicas",PALEOZOICO,DEVONICO-CARBONIFERO,ZONA CENTROIBERICA / OSSA MORENA (LNEG),17136.621876935125,4129882.0765051674,85191.2,80835.3,0,1,2
