source_excel_row,source_sheet,source_file,source_file_sha256,source_row_sha256,mineID,site,ancientName,province,country,region,miningDistrict,romanianRANID,sanchezPalenciaAndOrejasID,domergueID,spainMapSheet,lambertX,lambertY,latitude,longitude,coordinateAccuracy,locationDataSource,locationNotes,notBeforeOpeningDate,notAfterOpeningDate,notBeforeClosingDate,notAfterClosingDate,inUseDate,metalMinedGold,metalMinedSilver,metalMinedLead,metalMinedCopper,metalMinedTin,metalMinedIron,metalMinedMercuryCinnabar,metalMinedZinc,metalMinedOther,description,references,techniqueOpencast,techniqueUnderground,techniqueHydraulic,techniqueHushing,techniqueGroundSluicing,techniqueRuinaMontium,techniqueRakeComb,techniqueGoldWashing,techniqueOther,notes,geology,depositType,exploitationType,site_clean,ancient_name_clean,roman_province_clean,country_clean,region_clean,mining_district_clean,in_use_date_clean,geology_clean,deposit_type_clean,exploitation_type_clean,site_match_key,latitude_decimal,longitude_decimal,coordinate_accuracy_reported,coordinate_in_broad_spain_envelope,Y_Au,commodity_Au_status,Y_Ag,commodity_Ag_status,Y_Pb,commodity_Pb_status,Y_Cu,commodity_Cu_status,Y_Sn,commodity_Sn_status,Y_Fe,commodity_Fe_status,Y_Hg,commodity_Hg_status,Y_Zn,commodity_Zn_status,Y_Other,commodity_Other_status,Y_roman,confirmed_commodity_count,commodity_combination,commodity_information_complete,has_technique_opencast,technique_opencast_status,has_technique_underground,technique_underground_status,has_technique_hydraulic,technique_hydraulic_status,has_technique_hushing,technique_hushing_status,has_technique_ground_sluicing,technique_ground_sluicing_status,has_technique_ruina_montium,technique_ruina_montium_status,has_technique_rake_comb,technique_rake_comb_status,has_technique_gold_washing,technique_gold_washing_status,has_technique_other,technique_other_status,confirmed_technique_count,headline_technique_combination,notBeforeOpeningDate_numeric,notAfterOpeningDate_numeric,notBeforeClosingDate_numeric,notAfterClosingDate_numeric,chronology_numeric_bounds_count,chronology_any_reported,deposit_type_normalized,exploitation_type_normalized,flag_country_override,flag_coordinate_missing,flag_coordinate_outside_broad_spain_envelope,flag_coordinate_accuracy_missing,flag_coordinate_accuracy_zero,flag_coordinate_accuracy_gt_1000,flag_location_source_missing,flag_metal_unknown_or_invalid,flag_metal_missing,flag_no_confirmed_commodity,flag_technique_unknown_or_invalid,flag_technique_incomplete,flag_no_confirmed_technique,flag_chronology_missing,flag_chronology_invalid,flag_geology_missing,flag_deposit_type_missing,flag_deposit_type_unexpected,flag_exploitation_type_missing,flag_exploitation_type_unexpected,flag_possible_column_shift,flag_source_uncertainty_text,flag_duplicate_mine_id,flag_duplicate_coordinates,flag_duplicate_site_name,flag_nearby_record_100m,text_artifact_columns,flag_text_encoding_artifact,quality_flag_count,quality_high_severity,quality_review_required
124,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,ad37c48594364d527690ed19407a6856f7113a98a2ac0a1e017b6f5729081558,132,Lanz,,Hispania Tarraconensis,Navarra,,,,,NA 2,115,768.5,934.5,42.99640694,-1.621914721,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,0,0,1,0,0,0,0,0,,Domergue 1990: 64,0,1,FALSE,FALSE,FALSE,0,0,0,0,,,,,Lanz,,Hispania Tarraconensis,Navarra,,,,,,,lanz,42.99640694,-1.621914721,100,True,False,absent,False,absent,False,absent,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,1,1,Cu,True,False,absent,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,1,underground,,,,,0,False,,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,,False,5,False,True
201,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,7f71d69d9e791ecfbd9cd4a0bfdce49c72bc3aecc191da455ac389d37bf9c83f,391,Arroyo del Salgueral,,Hispania Tarraconensis,Spain,León,Cuenca Alta del Tuerto,,AT-13,LE 58,160,,,42.587941,-6.10518,50,"Google Earth and Domergue 1988 vol. II, 343",,,,,,,TRUE,0,0,0,0,0,0,0,0,,"Domergue 1988, 343; Sanchez-Palencia and Orejas 1994, 190",1,0,TRUE,FALSE,FALSE,0,1,0,0,,Colluvial deposits,Secondary - Primary,Extensive,Arroyo del Salgueral,,Hispania Tarraconensis,Spain,León,Cuenca Alta del Tuerto,,Colluvial deposits,Secondary - Primary,Extensive,arroyodelsalgueral,42.587941,-6.10518,50,True,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,1,1,Au,True,True,present,False,absent,True,present,False,absent,False,absent,False,absent,True,present,False,absent,False,absent,3,opencast+hydraulic,,,,,0,False,Primary + Secondary,Extensive,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,False,1,False,True
202,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,10df8acd4bf98da61f5d9df8bade4829f1d6f702de478a2557738a4c44cd789b,429,Barranco de Santa Filomena,,Hispania Tarraconensis,Spain,Cuenca,,,,CU 1,665,801,581.5,39.80928761,-1.33769529,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,0,0,1,0,0,0,0,0,,Domergue 1990: 64,,,FALSE,FALSE,FALSE,0,0,0,,,,,,Barranco de Santa Filomena,,Hispania Tarraconensis,Spain,Cuenca,,,,,,barrancodesantafilomena,39.80928761,-1.33769529,100,True,False,absent,False,absent,False,absent,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,1,1,Cu,True,,missing,,missing,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,,missing,0,None confirmed,,,,,0,False,,,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,,False,6,False,True
203,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,6073897c306c192d5639267bd18ec540e3a1c02422917f845a934982727a729d,430,Barranco Hondillo,,Hispania Baetica,Spain,Jaén,,,,J 27,863,643.2,420.5,38.38035345,-3.19315217,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,1,1,0,0,0,0,0,0,,Domergue 1990: 49,,,FALSE,FALSE,FALSE,0,0,0,,,Hard rock,Primary,,Barranco Hondillo,,Hispania Baetica,Spain,Jaén,,,Hard rock,Primary,,barrancohondillo,38.38035345,-3.19315217,100,True,False,absent,True,present,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,1,2,Ag+Pb,True,,missing,,missing,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,,missing,0,None confirmed,,,,,0,False,Primary,,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,,False,4,False,True
204,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,b26118f5a965d887ccef1cd5654b421a5999ed7fcf81397804e849258d62c199,431,Barreiro,,Hispania Tarraconensis,Spain,Lugo,Cuenca media del Sil,,MS-045,,,,,42.455589,-7.327043,500,"Estimated from Google Earth, IGN map, and Sanchez-Palencia and Orejas 1994, fig. 16","Is this Monte Barreiro, = Domergue LU 13.2.1?",,,,,,TRUE,0,0,0,0,0,0,0,0,,"Sanchez-Palencia and Orejas 1994, 195",1,0,TRUE,,,,,,,,,Secondary,Extensive,Barreiro,,Hispania Tarraconensis,Spain,Lugo,Cuenca media del Sil,,,Secondary,Extensive,barreiro,42.455589,-7.327043,500,True,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,1,1,Au,True,True,present,False,absent,True,present,,missing,,missing,,missing,,missing,,missing,,missing,2,opencast+hydraulic,,,,,0,False,Secondary,Extensive,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,,False,4,False,True
205,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,61edb13272a0491d8adb0a3462b2a18e858d095c5d8b6c06e9722aee662bbe12,432,Barrio Nuevo,,Hispania Baetica,Spain,Badajoz,La Serena,,,BA 41,805,438.5,465.3,38.770177,-5.54812106,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,1,1,0,0,0,0,0,0,,Domergue 1990: 45,,,FALSE,FALSE,FALSE,0,0,0,,,Hard rock,Primary,,Barrio Nuevo,,Hispania Baetica,Spain,Badajoz,La Serena,,Hard rock,Primary,,barrionuevo,38.770177,-5.54812106,100,True,False,absent,True,present,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,1,2,Ag+Pb,True,,missing,,missing,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,,missing,0,None confirmed,,,,,0,False,Primary,,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,,False,4,False,True
206,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,924aafb8b3d0ab0fc1e1c7f5fc7bddfb7231e0a85edc033399f2aca4bc58dd33,433,Begega - El Valle,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Narcea,,NA-42,,,,,43.28577,-6.299792,500,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 13, and Google Earth",,,,,,,TRUE,0,0,0,0,0,0,0,0,,"Sanchez-Palencia and Orejas 1994, 198",,,,,,,,,,Apparently destroyed by modern mine.,,Primary,Extensive,Begega - El Valle,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Narcea,,,Primary,Extensive,begegaelvalle,43.28577,-6.299792,500,True,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,1,1,Au,True,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,0,None confirmed,,,,,0,False,Primary,Extensive,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,,False,4,False,True
207,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,a11993443fb996209a351729342a8bd987cc384da765c4380a2e97de5d3ef838,434,Benllera,,Hispania Tarraconensis,Spain,León,Cuenca Alta del Orbigo,,AO-30,,,,,42.769431,-5.739137,500,Guessed: probable opencast on Google Earth,,,,,,,TRUE,0,0,0,0,0,0,0,0,,"Sanchez-Palencia and Orejas 1994, 189",1,0,TRUE,,,,,,,,,Secondary,Extensive,Benllera,,Hispania Tarraconensis,Spain,León,Cuenca Alta del Orbigo,,,Secondary,Extensive,benllera,42.769431,-5.739137,500,True,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,1,1,Au,True,True,present,False,absent,True,present,,missing,,missing,,missing,,missing,,missing,,missing,2,opencast+hydraulic,,,,,0,False,Secondary,Extensive,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,,False,4,False,True
208,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,0245544d3e2ff68e19ab655f067b8c8c2132619d14fa16998c660ddaceb841bb,435,Berrocoso,,Hispania Baetica,Spain,Córdoba,Los Pedroches,,,CO 15,858,494.7,422,38.38853471,-4.89415277,100,"Converted in QGIS from Lambert coords, Madrid 1870",,,,,,,FALSE,0,0,1,0,0,0,0,0,,Domergue 1990: 47,0,1,FALSE,FALSE,FALSE,0,0,0,0,,Hard rock,Primary,,Berrocoso,,Hispania Baetica,Spain,Córdoba,Los Pedroches,,Hard rock,Primary,,berrocoso,38.38853471,-4.89415277,100,True,False,absent,False,absent,False,absent,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,1,1,Cu,True,False,absent,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,1,underground,,,,,0,False,Primary,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,,False,2,False,True
209,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,a7b97d4b75413b240bcf3745b779c808802da7f487ec0f828f1b5486e9e40da4,436,Besullo,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Narcea,,NA-23,,,,,43.187648,-6.62437,1000,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 13 and Google Earth",,,,,,,TRUE,0,0,0,0,0,0,0,0,,"Sanchez-Palencia and Orejas 1994, 197",1,0,TRUE,,,,,,,,,Secondary,Selective,Besullo,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Narcea,,,Secondary,Selective,besullo,43.187648,-6.62437,1000,True,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,1,1,Au,True,True,present,False,absent,True,present,,missing,,missing,,missing,,missing,,missing,,missing,2,opencast+hydraulic,,,,,0,False,Secondary,Selective,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,False,3,False,True
210,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,83a70a5e151ac01f70c9ebd5780043dc7901eff7f9de109dd264041b4763c9ef,437,Braña de Avelleras,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Narcea,,NA-10,,,,,43.137245,-6.668311,1500,"Estimated from Sanchez-Palencia and Orejas 1994, fig. 13 and Google Earth",,,,,,,TRUE,0,0,0,0,0,0,0,0,,"Sanchez-Palencia and Orejas 1994, 197",,,,,,,,,,,,Primary,Extensive,Braña de Avelleras,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Narcea,,,Primary,Extensive,branadeavelleras,43.137245,-6.668311,1500,True,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,1,1,Au,True,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,0,None confirmed,,,,,0,False,Primary,Extensive,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,,False,5,False,True
211,OxREP Mines 3 0 - 20250408,oxrep-mines-3.0-20250408.xlsx,802e35d0abef469fb7683b3b82b1638224db059f19919a2e245ce44ec757815a,edc7573681da3c8370a8ad80af6eb434ff2a577bb643ee81f2e7c0ee7c66be0f,438,Brañalebrel,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Porcia,,PO-01,,,,,43.424806,-6.890274,1000,"Placename ""Brañalibel"", Google Earth.",,,,,,,TRUE,0,0,0,0,0,0,0,0,,"Sanchez-Palencia and Orejas 1994, 201",,,,,,,,,,,,Primary,,Brañalebrel,,Hispania Tarraconensis,Spain,Oviedo,Cuenca del Porcia,,,Primary,,branalebrel,43.424806,-6.890274,1000,True,True,present,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,False,absent,1,1,Au,True,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,,missing,0,None confirmed,,,,,0,False,Primary,,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,False,False,False,False,,False,5,False,True
