mineID,technique_code,technique_name,source_column,source_raw_value,status,confirmed_present
132,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
391,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
429,opencast,Opencast / surface,techniqueOpencast,,missing,
430,opencast,Opencast / surface,techniqueOpencast,,missing,
431,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
432,opencast,Opencast / surface,techniqueOpencast,,missing,
433,opencast,Opencast / surface,techniqueOpencast,,missing,
434,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
435,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
436,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
437,opencast,Opencast / surface,techniqueOpencast,,missing,
438,opencast,Opencast / surface,techniqueOpencast,,missing,
439,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
440,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
441,opencast,Opencast / surface,techniqueOpencast,,missing,
442,opencast,Opencast / surface,techniqueOpencast,,missing,
444,opencast,Opencast / surface,techniqueOpencast,,missing,
445,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
446,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
447,opencast,Opencast / surface,techniqueOpencast,,missing,
448,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
449,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
450,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
451,opencast,Opencast / surface,techniqueOpencast,,missing,
452,opencast,Opencast / surface,techniqueOpencast,,missing,
453,opencast,Opencast / surface,techniqueOpencast,,missing,
454,opencast,Opencast / surface,techniqueOpencast,,missing,
455,opencast,Opencast / surface,techniqueOpencast,,missing,
456,opencast,Opencast / surface,techniqueOpencast,,missing,
457,opencast,Opencast / surface,techniqueOpencast,,missing,
458,opencast,Opencast / surface,techniqueOpencast,1.0,present,True
459,opencast,Opencast / surface,techniqueOpencast,,missing,
460,opencast,Opencast / surface,techniqueOpencast,0.0,absent,False
461,opencast,Opencast / surface,techniqueOpencast,,missing,
