notebook,cell_index_0,cell_position_1,execution_count,lines,executable_statements,sha256,stored_errors
00_configuracion_y_fuentes.ipynb,2,3,17.0,34,21,d3405aa4037f0be19541aec668f04a23dd57d9684b2d4f54e42378d31b28ba37,[]
00_configuracion_y_fuentes.ipynb,4,5,18.0,4,4,fe8cd77a26c60dcf27e149453f4618e3ddd6a9ed538b426bb6e7b30b7f32d9fe,[]
00_configuracion_y_fuentes.ipynb,6,7,19.0,8,6,9a59e4167bd6e6c0ce962d2e8e487061438e695eb505b0d4ec9298d21ef0ef16,[]
00_configuracion_y_fuentes.ipynb,8,9,20.0,12,8,6049b881198e4a9a06611f90149b495822bf411a82dd93b4d1a3662ab11c03cf,[]
00_configuracion_y_fuentes.ipynb,10,11,21.0,16,10,2daa51d4fe975291145361e4b52825b7d293157a15639a1f968cd562711ddce4,[]
00_configuracion_y_fuentes.ipynb,12,13,22.0,20,8,d0475d898b8a6c95a95fd11b79de7a2f7bf04e6b7eb3aa775ad56317e4ac0b40,[]
00_configuracion_y_fuentes.ipynb,13,14,23.0,1,1,b44e6f1c857197bb57f93bf0b808a97b20306d4567cf5e9e3bd760f0d4852a97,[]
00_configuracion_y_fuentes.ipynb,15,16,24.0,19,12,2b0acd451e7ee6f20b87a72a66acb2b6569e7aa0589f7ddf1ee2d623b062301a,[]
00_configuracion_y_fuentes.ipynb,16,17,25.0,2,2,c7649fae26982a51e805f11ca8bb44a8b33b158df5bdedc00312705997acb03f,[]
00_configuracion_y_fuentes.ipynb,18,19,26.0,11,4,79fb68b3274b2162686461f800565bf0cdb877a391252da4a516aa50e87c503c,[]
00_configuracion_y_fuentes.ipynb,20,21,27.0,20,10,acbcc6c0ba52886d3946978ecc04298aa983c805de3902d5a025df270775c146,[]
00_configuracion_y_fuentes.ipynb,21,22,28.0,15,5,9e3f06ada510624a527b41d5f2e773cf1f653023873e6b98311073f019b04574,[]
00_configuracion_y_fuentes.ipynb,22,23,29.0,7,3,beea37a9c39886fd4ed3a94b9dd8274895014417b45e60b5a992e8a06349d67d,[]
00_configuracion_y_fuentes.ipynb,24,25,30.0,11,6,774382de965132c9354016472e66e7e2505f3f13cabf75a72de1df252bc54b27,[]
00_configuracion_y_fuentes.ipynb,26,27,31.0,7,7,f5e2e685e9d32cddff20ea8b948e913437ebd397afe99fcd9c1a17fb23120260,[]
00_configuracion_y_fuentes.ipynb,28,29,32.0,17,8,ba604ba629c5f940b9522db3a7be64e2649c8aa15149ee456f5e2e4ada95c1b3,[]
01_indicios_limpieza_etiquetas.ipynb,1,2,1.0,28,22,7c9a11a10276ba23b1a8e568fe2f79e15d6d9ee792555625f2dc1909e973b36d,[]
