column_index,excel_column,column,semantic_role,pandas_dtype,observed_python_types,rows,non_null,null,null_pct,unique_non_null,numeric_parse_success_non_null,numeric_parse_ratio_non_null,numeric_min,numeric_max,max_text_length,examples
1,A,mineID,identifier,int64,"{""int"": 1399}",1399,1399,0,0,1399,1399,1,1,1780,4,"[""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"", ""8""]"
2,B,site,categorical_or_text,str,"{""str"": 1399}",1399,1399,0,0,1381,0,0,,,72,"[""Aljustrel"", ""Atalaia de Alte"", ""Avintes"", ""Belmonte - Colmeal - Maçainhas"", ""Brancanes"", ""Buraco dos Mouros de Urros"", ""Cabeço de Mua"", ""Carvalhelos""]"
3,C,ancientName,categorical_or_text,str,"{""str"": 16}",1399,16,1383,0.9885632595,10,0,0,,,21,"[""Vipasca"", ""Victimulae"", ""Phaeno"", ""Urium (?)"", ""Alburnus Maior"", ""Argentaria"", ""Municipium Dardanorum"", ""Ergasteria""]"
4,D,province,categorical_or_text,str,"{""str"": 1399}",1399,1399,0,0,32,0,0,,,23,"[""Lusitania"", ""Hispania Tarraconensis"", ""Hispania Baetica"", ""Noricum"", ""Gallia Belgica"", ""Dalmatia"", ""Cyprus"", ""Aegyptus""]"
5,E,country,categorical_or_text,str,"{""str"": 1399}",1399,1399,0,0,27,0,0,,,40,"[""Portugal"", ""Austria"", ""Belgium"", ""Bosnia and Herzegovina"", ""Cyprus"", ""Northern Cyprus"", ""Egypt"", ""France""]"
6,F,region,categorical_or_text,str,"{""str"": 1309}",1399,1309,90,0.06433166548,115,0,0,,,33,"[""Beja"", ""Faro"", ""Northern Portugal"", ""Castelo Branco"", ""Braga"", ""Viano do Castelo"", ""Bragança"", ""Coimbra""]"
7,G,miningDistrict,categorical_or_text,str,"{""str"": 1212}",1399,1212,187,0.1336669049,117,0,0,,,29,"[""Alentejo"", ""Algarve"", ""Northern Portugal"", ""Trás-os-montes"", ""Picos de Aroche"", ""Beiras"", ""Magdalensberg"", ""Ardennes""]"
8,H,romanianRANID,identifier,float64,"{""float"": 100}",1399,100,1299,0.9285203717,99,100,1,3468.03,161366.01,9,"[""89044.02"", ""87754.05"", ""88109.08"", ""88109.09"", ""88109.07"", ""88109.1"", ""88109.04"", ""88109.03""]"
9,I,sanchezPalenciaAndOrejasID,identifier,str,"{""str"": 556}",1399,556,843,0.6025732666,532,0,0,,,16,"[""NP-01"", ""NP-17"", ""NP-19"", ""NP-11"", ""NP-20"", ""NP-24"", ""NP-18"", ""NP-22""]"
10,J,domergueID,identifier,str,"{""str"": 590}",1399,590,809,0.578270193,547,0,0,,,9,"[""POR 2"", ""POR 24"", ""POR 15"", ""POR 3"", ""POR 13"", ""POR 41"", ""POR 23"", ""POR 26""]"
11,K,spainMapSheet,identifier,float64,"{""float"": 554}",1399,554,845,0.6040028592,195,554,1,2,1066,6,"[""538.0"", ""587.0"", ""214.0"", ""564.0"", ""119.0"", ""41.0"", ""574.0"", ""595.0""]"
12,L,lambertX,coordinate_or_precision,float64,"{""float"": 552}",1399,552,847,0.6054324518,502,552,1,148.3,1147,6,"[""197.6"", ""195.2"", ""267.3"", ""210.3"", ""298.7"", ""232.8"", ""233.4"", ""172.9""]"
13,M,lambertY,coordinate_or_precision,float64,"{""float"": 552}",1399,552,847,0.6054324518,489,552,1,25,1003.2,6,"[""99.6"", ""30.8"", ""380.4"", ""65.7"", ""470.0"", ""524.2"", ""53.6"", ""25.0""]"
14,N,latitude,coordinate_or_precision,float64,"{""float"": 1388}",1399,1388,11,0.007862759114,1376,1388,1,22.09553,53.650768,11,"[""37.880874"", ""37.24315224"", ""41.099158"", ""40.38963823"", ""37.55756281"", ""41.07721"", ""41.19318578"", ""41.68652096""]"
15,O,longitude,coordinate_or_precision,float64,"{""float"": 1388}",1399,1388,11,0.007862759114,1375,1388,1,-8.93707518,38.8699,12,"[""-8.175981"", ""-8.187164537"", ""-8.544675"", ""-7.340493633"", ""-8.016500588"", ""-7.040592"", ""-6.956601638"", ""-7.739182189""]"
16,P,coordinateAccuracy,coordinate_or_precision,float64,"{""float"": 1261}",1399,1261,138,0.09864188706,19,1261,1,0,5000,6,"[""1000.0"", ""50.0"", ""5000.0"", ""2000.0"", ""200.0"", ""300.0"", ""100.0"", ""500.0""]"
17,Q,locationDataSource,categorical_or_text,str,"{""str"": 1273}",1399,1273,126,0.09006433167,307,0,0,,,171,"[""Google Earth"", ""Placename, Google Earth"", ""http://www.cm-moncorvo.pt/o-que-visitar/patrimonio/geologico/buraco-dos-mouros-de-urros"", ""Guessed from Google Earth and Sanchez-Palencia and Orejas 1994, fig. 12"", ""https://wiki.city/en/portugal_braganca_braganca_franca"", ""Carvalho and da Veiga Ferreira 1954"", ""Google satellite and von Foullon map, georeferenced."", ""Placename on Google Earth, adjusted for von Foullon 1893 fig. 4, georeferenced.""]"
18,R,locationNotes,categorical_or_text,str,"{""str"": 230}",1399,230,1169,0.8355968549,196,0,0,,,339,"[""Location is actually slightly to the N of this point, at confluence of rio Erges and ribeiro do Segundo Areijo"", ""Klemm and Klemm 2011, 133 fig. 5.78 and Google Earth"", ""General place-holder for district; coordinates refer to Agrileza Valley"", ""On the Albac stream, at the point \""Gura Rezii\"" near the church"", ""Simion 2006: 132: \""Metaliferi Mountains on the plateau between the springs of the Criş şi Ampoi  Rivers: Runcu Massiv, Bojeniţa Hill. Roman mining traces on Alexandru Vein,  Sever Vein,  Adriana Vein. Archaeological sites. (points) – Corne…"", ""Poiana Ruscă Mountains, on the left bank of the Cerna Valley"", ""Vidra de Sus, on the right bank of the Aries river."", ""Region called Crişul Alb Area, between Măgura Caraci, Ţebea, and Baia de Criş.""]"
19,S,notBeforeOpeningDate,chronology,float64,"{""float"": 239}",1399,239,1160,0.8291636883,23,239,1,-750,400,6,"[""400.0"", ""-550.0"", ""-30.0"", ""-330.0"", ""-200.0"", ""-8.0"", ""106.0"", ""-20.0""]"
20,T,notAfterOpeningDate,chronology,float64,"{""float"": 199}",1399,199,1200,0.8577555397,23,199,1,-750,600,6,"[""600.0"", ""-550.0"", ""-30.0"", ""-330.0"", ""-20.0"", ""1.0"", ""271.0"", ""50.0""]"
21,U,notBeforeClosingDate,chronology,float64,"{""float"": 195}",1399,195,1204,0.8606147248,19,195,1,-30,640,5,"[""400.0"", ""300.0"", ""640.0"", ""50.0"", ""9.0"", ""600.0"", ""120.0"", ""106.0""]"
22,V,notAfterClosingDate,chronology,float64,"{""float"": 228}",1399,228,1171,0.8370264475,13,228,1,-30,750,5,"[""650.0"", ""300.0"", ""640.0"", ""200.0"", ""9.0"", ""230.0"", ""271.0"", ""421.0""]"
23,W,inUseDate,chronology,str,"{""str"": 277}",1399,277,1122,0.8020014296,53,0,0,,,55,"[""Egyptian / Ptolemaic / Roman"", ""Roman"", ""Ptolemaic / Roman"", ""La Tene D2 to Roman period_x000D_\n"", ""1st & 2nd Iron Age to Roman period_x000D_\n"", ""end 2nd/ start 1st c BC onwards_x000D_\n"", ""Roman (imperial period)"", ""Roman: Augustan""]"
24,X,metalMinedGold,commodity_indicator,str,"{""str"": 1383}",1399,1383,16,0.01143674053,3,0,0,,,5,"[""?"", ""FALSE"", ""TRUE""]"
25,Y,metalMinedSilver,commodity_indicator,float64,"{""float"": 1381}",1399,1381,18,0.0128663331,2,1381,1,0,1,3,"[""1.0"", ""0.0""]"
26,Z,metalMinedLead,commodity_indicator,float64,"{""float"": 1381}",1399,1381,18,0.0128663331,2,1381,1,0,1,3,"[""0.0"", ""1.0""]"
27,AA,metalMinedCopper,commodity_indicator,float64,"{""float"": 1378}",1399,1378,21,0.01501072194,2,1378,1,0,1,3,"[""1.0"", ""0.0""]"
28,AB,metalMinedTin,commodity_indicator,float64,"{""float"": 1381}",1399,1381,18,0.0128663331,2,1381,1,0,1,3,"[""0.0"", ""1.0""]"
29,AC,metalMinedIron,commodity_indicator,float64,"{""float"": 1381}",1399,1381,18,0.0128663331,2,1381,1,0,1,3,"[""1.0"", ""0.0""]"
30,AD,metalMinedMercuryCinnabar,commodity_indicator,float64,"{""float"": 1381}",1399,1381,18,0.0128663331,2,1381,1,0,1,3,"[""0.0"", ""1.0""]"
31,AE,metalMinedZinc,commodity_indicator,float64,"{""float"": 1381}",1399,1381,18,0.0128663331,2,1381,1,0,1,3,"[""0.0"", ""1.0""]"
32,AF,metalMinedOther,commodity_indicator,float64,"{""float"": 1380}",1399,1380,19,0.01358112938,1,1380,1,0,0,3,"[""0.0""]"
33,AG,description,categorical_or_text,str,"{""str"": 253}",1399,253,1146,0.8191565404,230,0,0,,,739,"[""A copper mining district with also extraction of silver, iron, and perhaps gold. Two bronze tablets were found here detailing the laws and regulations as well as the imperial administration's role in managing the town, granting leases, and…"", ""60-70 opencast pits on the S. slope of Rosinj and Devetak. No ore found, so probably prospection pits. The scale and number of the pits in a difficult location suggests Roman workings, contemporary with the exploitation of the alluvial dep…"", ""Two banks of debris, 50 m wide and 10 m high, running for c. 1 km; also 31 opencast pits about 3–5 m diameter. Von Foullon 1893 description seems to indicate that this is opencast mining. Bordeaux 1904, 117, says there was an aqueduct from…"", ""A Byzantine-period gold mining site surveyed by archaeologists in detail. 216 buildings have been identified housing an estimated labour force of 1,000.  Now heavily destroyed and damaged by modern mining."", ""Ostraca record supplies from the Nile valley."", ""Dated to La Tene D2 by pottery_x000D_"", ""C14 datings on timbers_x000D_"", ""Mining structures have been identified including galleries and shafts, as well as a mining village and installations for processing ore. Highly organized site with multiple mining companies active.""]"
34,AH,references,categorical_or_text,str,"{""str"": 1168}",1399,1168,231,0.1651179414,243,0,0,,,472,"[""Domergue 1983: 5-193; Domergue 1990: 62"", ""Domergue 1990: 62"", ""Sanchez-Palencia and Orejas 1994, 198"", ""Domergue 1990: 41"", ""Sanchez-Palencia and Orejas 1994, 199"", ""Domergue 1990: 61"", ""Domergue 1990: 41; Sanchez-Palencia and Orejas 1994, 198"", ""Domergue 1990: 42""]"
35,AI,techniqueOpencast,technique_indicator,float64,"{""float"": 754}",1399,754,645,0.4610436026,2,754,1,0,1,3,"[""0.0"", ""1.0""]"
36,AJ,techniqueUnderground,technique_indicator,float64,"{""float"": 791}",1399,791,608,0.4345961401,2,791,1,0,1,3,"[""1.0"", ""0.0""]"
37,AK,techniqueHydraulic,technique_indicator,str,"{""str"": 1132}",1399,1132,267,0.1908506076,3,0,0,,,5,"[""FALSE"", ""TRUE"", ""?""]"
38,AL,techniqueHushing,technique_indicator,str,"{""str"": 906}",1399,906,493,0.3523945675,3,0,0,,,5,"[""FALSE"", ""TRUE"", ""?""]"
39,AM,techniqueGroundSluicing,technique_indicator,str,"{""str"": 920}",1399,920,479,0.3423874196,3,0,0,,,5,"[""FALSE"", ""TRUE"", ""?""]"
40,AN,techniqueRuinaMontium,technique_indicator,float64,"{""float"": 938}",1399,938,461,0.3295210865,2,938,1,0,1,3,"[""0.0"", ""1.0""]"
