source_excel_row,mineID,site,country_raw,roman_province_raw,region_raw,latitude_raw,longitude_raw,coordinate_in_broad_spain_envelope,include_spain_subset,selection_rule,selection_reason
2,1,Aljustrel,Portugal,Lusitania,Beja,37.880874,-8.175981,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
3,2,Atalaia de Alte,Portugal,Lusitania,Faro,37.24315224,-8.187164537,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
4,3,Avintes,Portugal,Lusitania,Northern Portugal,41.099158,-8.544675,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
5,4,Belmonte - Colmeal - Maçainhas,Portugal,Hispania Tarraconensis,Castelo Branco,40.38963823,-7.340493633,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
6,5,Brancanes,Portugal,Lusitania,Beja,37.55756281,-8.016500588,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
7,6,Buraco dos Mouros de Urros,Portugal,Hispania Tarraconensis,Northern Portugal,41.07721,-7.040592,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
8,7,Cabeço de Mua,Portugal,Hispania Tarraconensis,Braga,41.19318578,-6.956601638,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
9,8,Carvalhelos,Portugal,Hispania Tarraconensis,Viano do Castelo,41.68652096,-7.739182189,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
10,9,Cerro da Mina,Portugal,Lusitania,Faro,37.44799935,-7.755615659,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
11,10,Cisterna dos Cães,Portugal,Lusitania,Faro,37.19050854,-8.438280827,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
12,11,Corta da Torre,Portugal,Hispania Tarraconensis,Northern Portugal,41.69245,-8.670924,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
13,12,Corta do Penedo das Bruxas,Portugal,Hispania Tarraconensis,Northern Portugal,41.737828,-7.573834,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
14,13,Covas de Mouros de Monte da Nó,Portugal,Hispania Tarraconensis,Northern Portugal,41.708911,-8.59835,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
15,14,Crugeira,Portugal,Hispania Baetica,Beja,38.11068367,-7.317816557,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
16,15,Ervedosa,Portugal,Hispania Tarraconensis,Bragança,41.7257388,-7.095970035,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
17,16,Escadia Grande,Portugal,Hispania Tarraconensis,Coimbra,40.07804448,-8.11552781,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
18,18,Folgadouro,Portugal,Hispania Tarraconensis,Viano do Castelo,41.7692345,-8.754909308,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
19,19,Forca,Portugal,Hispania Tarraconensis,Northern Portugal,41.836843,-8.260849,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
20,20,França,Portugal,Hispania Tarraconensis,Northern Portugal,41.9014042,-6.7373962,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
21,21,Furados de Pombeiro,Portugal,Hispania Tarraconensis,Coimbra,40.24195054,-8.110787612,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
22,22,Grovelas,Portugal,Hispania Tarraconensis,Northern Portugal,41.751727,-8.437788,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
23,23,Herdade da Tinoca,Portugal,Lusitania,Portalegre,39.07860132,-7.142712111,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
24,24,Herdade do Montinho,Portugal,Lusitania,Beja,37.86304358,-8.160350225,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
25,25,Jales,Portugal,Hispania Tarraconensis,Vila Real,41.46531351,-7.587303241,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
26,26,Juliana,Portugal,Lusitania,Beja,37.90716138,-8.045521077,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
27,27,Lagares,Portugal,Hispania Tarraconensis,Northern Portugal,41.807087,-7.455047,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
28,28,Macedinho,Portugal,Hispania Tarraconensis,Northern Portugal,41.405245,-7.104955,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
29,29,Malhada,Portugal,Hispania Tarraconensis,Aveiro,40.74143642,-8.400695101,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
30,30,Meimoa,Portugal,Hispania Tarraconensis,Castelo Branco,40.19973244,-7.123086066,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
31,32,Milreu,Portugal,Hispania Tarraconensis,Santarem,39.61872097,-8.142422005,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
32,33,Mina da Cabranca,Portugal,Lusitania,Northern Portugal,41.012513,-8.361867,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
33,34,Mina do Bugalho,Portugal,Hispania Baetica,Évora,38.68452182,-7.318251199,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
34,35,Mina do Portal,Portugal,Lusitania,Northern Portugal,41.039901,-8.404394,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
35,36,Minancos,Portugal,Hispania Baetica,Beja,38.16428271,-7.141500915,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
36,37,Monfortinho 1,Portugal,Hispania Tarraconensis,Castelo Branco,40.01267954,-6.874035303,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
37,38,Monfortinho 2,Portugal,Hispania Tarraconensis,Castelo Branco,40.01267954,-6.874035303,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
38,39,Monfortinho 3 (Fonte Santa),Portugal,Hispania Tarraconensis,Castelo Branco,39.99651051,-6.877844815,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
39,40,Monte Judeu,Portugal,Hispania Baetica,Beja,38.04335366,-7.352737619,True,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
40,41,Noreia,Austria,Noricum,,46.7,14.433333,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
41,42,Stavelot,Belgium,Gallia Belgica,,50.3833,5.9333,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
42,43,Fojnica,Bosnia and Herzegovina,Dalmatia,Central Bosnia,43.96457969,17.90229284,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
43,45,Japra,Bosnia and Herzegovina,Dalmatia,Central Bosnia,45.0306,16.4572,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
44,46,Kreševo,Bosnia and Herzegovina,Dalmatia,Central Bosnia,43.866667,18.05,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
45,47,Ostružnica,Bosnia and Herzegovina,Dalmatia,Central Bosnia,43.96903626,17.94124929,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
46,48,Rosinj,Bosnia and Herzegovina,Dalmatia,Central Bosnia,43.94924716,17.68901931,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
47,49,Uložnica,Bosnia and Herzegovina,Dalmatia,Central Bosnia,43.9856004,17.68736147,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
48,50,Agrokipia,Cyprus,Cyprus,,35.044444,33.155,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
49,51,Apliki,Cyprus,Cyprus,,34.930833,33.116944,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
50,52,Asproyia,Cyprus,Cyprus,,34.921944,32.615556,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
51,53,Ayios Mamas,Cyprus,Cyprus,,34.85,32.95,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
52,54,Kalavassos,Cyprus,Cyprus,,34.916667,33.633333,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
53,55,Kambia,Cyprus,Cyprus,,34.825,32.741667,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
54,56,Kynousa,Cyprus,Cyprus,,35.031321,32.509186,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
55,57,Limni,Cyprus,Cyprus,,35.050736,32.461181,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
56,58,Mathiatis,Cyprus,Cyprus,,34.962778,33.336111,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
57,59,Mavrovouni,Northern Cyprus,Cyprus,,35.114088,32.835988,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
58,60,Mazokambos,Northern Cyprus,Cyprus,,35.091672,32.829169,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
59,61,Mitsero,Cyprus,Cyprus,,35.042222,33.126944,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
60,62,Sha,Cyprus,Cyprus,,34.954722,33.39,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
61,63,Skouriotissa,Cyprus,Cyprus,,35.091111,32.884722,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
62,64,Troulli,Cyprus,Cyprus,,35.030848,33.616178,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
63,65,Abu Zawal,Egypt,Aegyptus,Eastern Desert,26.666667,33.233333,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
64,67,Atalla,Egypt,Aegyptus,Eastern Desert,26.154323,33.504118,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
65,69,Bir Umm Fawakhir,Egypt,Aegyptus,Eastern Desert,26.010142,33.608432,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
66,71,Dunqash,Egypt,Aegyptus,Eastern Desert,24.933333,33.866667,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
67,73,Gelli,Egypt,Aegyptus,Eastern Desert,24.52044,34.74244,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
68,74,Persou,Egypt,Aegyptus,Eastern Desert,25.950983,33.568897,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
69,75,Samut,Egypt,Aegyptus,Eastern Desert,24.8394,33.9488,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
70,76,Siqdit,Egypt,Aegyptus,Eastern Desert,25.45094,34.06704,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
71,77,Sukkari,Egypt,Aegyptus,Eastern Desert,24.952795,34.711604,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
72,78,Wadi el-Sid,Egypt,Aegyptus,Eastern Desert,25.985185,33.611553,False,False,excluded_country_not_spain,country is not the configured modern-country value Spain.
