region,commodity_code,records,confirmed_present
Alicante,Au,1,0
Alicante,Ag,1,0
Alicante,Pb,1,0
Alicante,Cu,1,0
Alicante,Sn,1,0
Alicante,Fe,1,1
Alicante,Hg,1,0
Alicante,Zn,1,0
Alicante,Other,1,0
Almería,Au,6,0
Almería,Ag,6,4
Almería,Pb,6,3
Almería,Cu,6,3
Almería,Sn,6,0
Almería,Fe,6,0
Almería,Hg,6,0
Almería,Zn,6,0
Almería,Other,6,0
Avila,Au,1,0
Avila,Ag,1,0
Avila,Pb,1,0
Avila,Cu,1,1
Avila,Sn,1,0
Avila,Fe,1,0
Avila,Hg,1,0
Avila,Zn,1,0
Avila,Other,1,0
Badajoz,Au,52,0
Badajoz,Ag,52,46
Badajoz,Pb,52,45
Badajoz,Cu,52,8
Badajoz,Sn,52,0
Badajoz,Fe,52,2
Badajoz,Hg,52,0
Badajoz,Zn,52,0
Badajoz,Other,52,0
Balearics,Au,2,0
Balearics,Ag,2,2
Balearics,Pb,2,2
Balearics,Cu,2,0
Balearics,Sn,2,0
Balearics,Fe,2,0
Balearics,Hg,2,0
Balearics,Zn,2,0
Balearics,Other,2,0
Bilbao,Au,2,0
Bilbao,Ag,2,0
Bilbao,Pb,2,1
Bilbao,Cu,2,0
Bilbao,Sn,2,0
Bilbao,Fe,2,1
Bilbao,Hg,2,0
Bilbao,Zn,2,1
Bilbao,Other,2,0
Ciudad Real,Au,37,1
Ciudad Real,Ag,37,33
Ciudad Real,Pb,37,32
Ciudad Real,Cu,37,3
Ciudad Real,Sn,37,0
Ciudad Real,Fe,37,0
Ciudad Real,Hg,37,4
Ciudad Real,Zn,37,0
Ciudad Real,Other,37,0
Cuenca,Au,3,0
Cuenca,Ag,3,0
Cuenca,Pb,3,0
Cuenca,Cu,3,1
Cuenca,Sn,3,0
Cuenca,Fe,3,2
Cuenca,Hg,3,0
Cuenca,Zn,3,0
Cuenca,Other,3,0
Cáceres,Au,1,0
Cáceres,Ag,1,1
Cáceres,Pb,1,1
Cáceres,Cu,1,0
Cáceres,Sn,1,0
Cáceres,Fe,1,0
Cáceres,Hg,1,0
Cáceres,Zn,1,0
Cáceres,Other,1,0
Córdoba,Au,82,0
Córdoba,Ag,82,36
Córdoba,Pb,82,35
Córdoba,Cu,82,61
Córdoba,Sn,82,0
Córdoba,Fe,82,0
Córdoba,Hg,82,0
Córdoba,Zn,82,0
Córdoba,Other,82,0
Gerona,Au,7,6
Gerona,Ag,7,1
Gerona,Pb,7,0
Gerona,Cu,7,1
Gerona,Sn,7,0
Gerona,Fe,7,0
Gerona,Hg,7,0
Gerona,Zn,7,0
Gerona,Other,7,0
Granada,Au,4,3
Granada,Ag,4,0
Granada,Pb,4,0
Granada,Cu,4,0
Granada,Sn,4,0
Granada,Fe,4,1
Granada,Hg,4,0
Granada,Zn,4,0
Granada,Other,4,0
Guadalajara,Au,2,1
Guadalajara,Ag,2,0
Guadalajara,Pb,2,0
Guadalajara,Cu,2,1
Guadalajara,Sn,2,0
Guadalajara,Fe,2,0
Guadalajara,Hg,2,0
Guadalajara,Zn,2,0
Guadalajara,Other,2,0
Huelva,Au,50,0
Huelva,Ag,50,7
Huelva,Pb,50,3
Huelva,Cu,50,50
Huelva,Sn,50,0
Huelva,Fe,50,1
Huelva,Hg,50,0
Huelva,Zn,50,0
Huelva,Other,50,0
Jaén,Au,30,0
Jaén,Ag,30,19
Jaén,Pb,30,19
Jaén,Cu,30,14
Jaén,Sn,30,1
Jaén,Fe,30,0
Jaén,Hg,30,0
Jaén,Zn,30,0
Jaén,Other,30,0
La Coruña,Au,8,3
La Coruña,Ag,8,0
La Coruña,Pb,8,0
La Coruña,Cu,8,3
La Coruña,Sn,8,2
La Coruña,Fe,8,0
La Coruña,Hg,8,0
La Coruña,Zn,8,0
La Coruña,Other,8,0
La Rioja,Au,1,0
La Rioja,Ag,1,1
La Rioja,Pb,1,1
La Rioja,Cu,1,0
La Rioja,Sn,1,0
La Rioja,Fe,1,0
La Rioja,Hg,1,0
La Rioja,Zn,1,0
La Rioja,Other,1,0
Leon,Au,1,1
Leon,Ag,1,0
Leon,Pb,1,0
Leon,Cu,1,0
Leon,Sn,1,0
Leon,Fe,1,0
Leon,Hg,1,0
